station,status,reason,test_mae,test_mse,test_rmse,full_mae,full_mse,full_rmse,model_path,pipeline_path,num_rows,num_samples
6720_Celje,trained,,0.0112846882117015,0.00016818800814625027,0.01296873194056575,0.06087344352072345,0.009036848890261575,0.0950623421248476,models\hidro\model_6720_Celje.keras,models\hidro\pipeline_6720_Celje.pkl,1693.0,1669.0
6770_Polze,trained,,0.011058951269440129,0.00016257016319561014,0.012750300513933393,0.0280391620474607,0.004549143182758578,0.06744733636518627,models\hidro\model_6770_Polze.keras,models\hidro\pipeline_6770_Polze.pkl,1695.0,1671.0
6835_Vodisko,trained,,0.01189563182944591,0.0002284292571492979,0.01511387631116842,0.012242344840686311,0.00030950131931517934,0.017592649582003825,models\hidro\model_6835_Vodisko.keras,models\hidro\pipeline_6835_Vodisko.pkl,1690.0,1666.0
7029_Podbukovje,trained,,0.013101493200820652,0.0002901126859219789,0.01703269461717608,0.027400208672353724,0.0014381636388837529,0.037923128020823295,models\hidro\model_7029_Podbukovje.keras,models\hidro\pipeline_7029_Podbukovje.pkl,1697.0,1673.0
7060_Soteska,trained,,0.004894304757609075,4.550311217247954e-05,0.006745599467243778,0.03679759579373441,0.0031616083369761434,0.05622818098583791,models\hidro\model_7060_Soteska.keras,models\hidro\pipeline_7060_Soteska.pkl,1696.0,1672.0
7160_Podbocje,trained,,0.006820902018623066,6.067050336624283e-05,0.007789127253180733,0.02312833135614969,0.0015159043351539092,0.03893461615521475,models\hidro\model_7160_Podbocje.keras,models\hidro\pipeline_7160_Podbocje.pkl,1688.0,1664.0
7200_Mlacevo,trained,,0.013927483246461425,0.00029484472947496014,0.01717104334264404,0.013430521046399396,0.0008948748926926735,0.029914459592188417,models\hidro\model_7200_Mlacevo.keras,models\hidro\pipeline_7200_Mlacevo.pkl,1696.0,1672.0
7220_Rasica,trained,,0.007336316405963906,8.319817281587477e-05,0.00912130324108758,0.015076786177132423,0.0014105627501546781,0.037557459314424856,models\hidro\model_7220_Rasica.keras,models\hidro\pipeline_7220_Rasica.pkl,1330.0,1306.0
7230_Gradicek,skipped,"empty feature columns: ['vodostaj', 'pretok', 'temp_vode']",,,,,,,,,,
7245_Fuzina,skipped,"empty feature columns: ['vodostaj', 'pretok', 'temp_vode']",,,,,,,,,,
7340_Precna,trained,,0.025511576411111386,0.0006792268531968576,0.026061980991414633,0.027834443624527,0.002426344547677069,0.049257938930461445,models\hidro\model_7340_Precna.keras,models\hidro\pipeline_7340_Precna.pkl,1634.0,1610.0
7350_Stopice,skipped,"empty feature columns: ['vodostaj', 'pretok', 'temp_vode']",,,,,,,,,,
