hidro_station,weather_station,status,hidro_rows,weather_rows,start_time,end_time,reason
6280_Velenje,VELENJE,ok,500.0,576.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
6300_Sostanj,VELENJE,skipped,,,,,hidro file missing
6340_Recica,CELJE,skipped,,,,,hidro file missing
6415_Gaberke,VELENJE,ok,500.0,576.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
6630_Levec,CELJE,ok,500.0,429.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
6691_Crnolica,CELJE,skipped,,,,,hidro file missing
6720_Celje,CELJE,ok,500.0,429.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
6770_Polze,CELJE,skipped,,,,,hidro file missing
7029_Podbukovje,TREBNJE,ok,500.0,576.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
7060_Soteska,TREBNJE,ok,500.0,576.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
7160_Podbocje,KRSKO,skipped,,,,,hidro file missing
7200_Mlacevo,TREBNJE,skipped,,,,,hidro file missing
7220_Rasica,TREBNJE,skipped,,,,,hidro file missing
7340_Precna,TREBNJE,skipped,,,,,hidro file missing
7380_Skocjan,SKOCJAN,skipped,,,,,hidro file missing
7440_Sodrazica,KOCEVJE,skipped,,,,,hidro file missing
7488_Prigorica,KOCEVJE,ok,500.0,617.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
7498_Blate,KOCEVJE,ok,500.0,617.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
8031_Krsovec,BOVEC,skipped,,,,,hidro file missing
8080_Kobarid,BOVEC,ok,505.0,406.0,2025-07-01 20:30:00,2025-07-18 23:30:00,
8180_Solkan,BILJE,ok,500.0,608.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
8270_Zaga,BOVEC,skipped,,,,,hidro file missing
8332_Tolmin,KRN,ok,500.0,604.0,2025-07-02 02:00:00,2025-07-18 23:30:00,
